x_transformed,y_transformed,group
18765.652,13260.923,Memory B Cell
18709.514,13262.948,B Cell
18732.879,13265.758,Stromal Cell
18752.89,13272.667,Memory B Cell
18783.73,13267.26,Mast Cell
18813.447,13211.442,Memory B Cell
18751.186,13216.397,Naive Thymus Derived CD4+ αβ T Cell
18773.955,13204.798,Memory B Cell
18784.295,13218.986,CD4+ αβ Memory T Cell
18799.496,13222.776,Naive Thymus Derived CD4+ αβ T Cell
17800.463,13364.361,Regulatory T Cell
17708.205,13341.988,Memory B Cell
17782.355,13374.962,Memory B Cell
17760.635,13367.311,Regulatory T Cell
17776.393,13347.229,CD8+ αβ Memory T Cell
17877.512,13353.077,Memory B Cell
17822.027,13364.684,Naive B Cell
17848.229,13364.065,Memory B Cell
17854.904,13345.894,Memory B Cell
17831.557,13435.063,B Cell
17800.002,13437.639,Memory B Cell
17736.953,13426.302,Memory B Cell
17713.06,13416.8545,Innate Lymphoid Cell
17714.033,13383.129,Memory B Cell
17723.969,13446.014,Memory B Cell
17781.816,13448.859,Memory B Cell
17755.219,13421.664,B Cell
17761.049,13447.217,Naive B Cell
17775.775,13430.717,Memory B Cell
17820.502,13387.847,CD4+ αβ Memory T Cell
17773.248,13412.221,Naive B Cell
17760.607,13390.401,B Cell
17783.988,13399.927,Memory B Cell
17800.662,13393.645,CD4+ αβ Memory T Cell
17813.34,13414.731,CD4+ αβ Memory T Cell
17625.287,13260.94,Regulatory T Cell
17572.615,13276.683,CD8+ αβ Memory T Cell
17590.818,13266.119,B Cell
17608.908,13281.679,Naive Thymus Derived CD4+ αβ T Cell
17632.23,13277.851,Non Classical Monocyte
17537.932,13248.6875,CD4+ αβ Memory T Cell
17570.363,13249.884,B Cell
17558.77,13235.1875,Naive B Cell
17602.43,13244.117,Endothelial Cell
17582.44,13225.229,Memory B Cell
17598.576,13215.198,CD8+ αβ Memory T Cell
17435.963,13250.098,Naive B Cell
17419.021,13229.576,B Cell
17423.55,13264.28,Effector CD4+ αβ T Cell
17434.178,13230.259,Memory B Cell
17405.98,13254.916,Naive Thymus Derived CD4+ αβ T Cell
17402.758,13231.031,Endothelial Cell
17383.693,13244.666,Macrophage
17381.846,13295.628,Plasmacytoid Dendritic Cell
17435.736,13274.283,Naive B Cell
17400.467,13280.856,Endothelial Cell
17418.36,13284.595,Naive B Cell
17562.113,13213.339,Stromal Cell
17493.486,13230.078,B Cell
17513.389,13232.735,Memory B Cell
17539.547,13221.688,Memory B Cell
17532.281,13205.632,B Cell
17479.107,13252.611,Macrophage
17453.814,13239.581,Plasmacytoid Dendritic Cell
17464.443,13259.322,Plasmacytoid Dendritic Cell
17476.559,13230.915,Innate Lymphoid Cell
17479.02,13276.824,Innate Lymphoid Cell
17442.482,13291.375,B Cell
17451.219,13272.004,CD4+ αβ Memory T Cell
17463.383,13289.916,Effector CD4+ αβ T Cell
17546.828,13268.861,Endothelial Cell
17500.398,13259.826,Stromal Cell
17516.25,13285.018,Innate Lymphoid Cell
17533.883,13290.765,Endothelial Cell
17729.643,13370.135,B Cell
17546.133,13356.747,Hematopoietic Stem Cell
17561.14,13391.281,Memory B Cell
17557.678,13371.869,Memory B Cell
17612.658,13370.864,Memory B Cell
17602.275,13359.578,Regulatory T Cell
17603.252,13393.958,T Cell
17583.96,13378.272,B Cell
17588.8,13347.453,B Cell
17657.963,13350.921,Macrophage
17625.775,13389.238,Memory B Cell
17635.945,13367.476,Naive Thymus Derived CD4+ αβ T Cell
17646.18,13389.174,Innate Lymphoid Cell
17677.057,13371.457,Memory B Cell
17700.502,13398.392,Memory B Cell
17706.426,13358.428,Memory B Cell
17685.285,13349.531,Effector CD8+ αβ T Cell
17691.906,13377.588,B Cell
17462.621,13426.0,T Cell
17418.152,13412.679,Memory B Cell
17424.982,13432.282,CD8+ αβ Memory T Cell
17444.08,13398.846,Innate Lymphoid Cell
17392.037,13412.428,CD4+ αβ Memory T Cell
17377.281,13436.091,Memory B Cell
17399.19,13434.881,Memory B Cell
17393.729,13457.221,T Cell
17380.865,13366.886,Memory B Cell
17371.877,13394.802,Memory B Cell
17390.42,13386.129,CD8+ αβ Memory T Cell
17447.096,13454.578,CD4+ αβ Memory T Cell
17417.33,13453.565,Memory B Cell
17472.021,13458.887,Innate Lymphoid Cell
17524.303,13377.354,Effector CD4+ αβ T Cell
17481.852,13390.609,Endothelial Cell
17485.117,13368.139,Effector CD4+ αβ T Cell
17502.23,13380.018,T Cell
17510.389,13349.444,Memory B Cell
17466.574,13353.558,B Cell
17466.02,13376.844,CD141+ Myeloid Dendritic Cell
17445.34,13358.913,CD141+ Myeloid Dendritic Cell
17412.322,13382.264,Endothelial Cell
17426.18,13363.765,CD4+ αβ Memory T Cell
17541.766,13422.226,Regulatory T Cell
17521.078,13433.595,Endothelial Cell
17535.377,13445.35,Hematopoietic Stem Cell
17482.537,13415.535,Naive B Cell
17504.87,13456.1,Regulatory T Cell
17492.117,13440.791,Memory B Cell
17504.656,13422.252,CD8+ αβ Memory T Cell
17537.76,13399.085,CD4+ αβ Memory T Cell
17502.904,13401.378,Hematopoietic Stem Cell
17523.11,13408.808,Regulatory T Cell
17676.934,13410.238,Memory B Cell
17654.697,13409.506,Memory B Cell
17689.898,13426.428,B Cell
17603.62,13428.179,Memory B Cell
17558.23,13445.037,B Cell
17560.713,13417.291,Innate Lymphoid Cell
17581.39,13437.728,B Cell
17646.934,13456.314,Memory B Cell
17617.125,13438.491,Stromal Cell
17621.322,13457.058,B Cell
17640.002,13434.334,Memory B Cell
17628.818,13411.944,Memory B Cell
17582.111,13412.455,Memory B Cell
17608.344,13409.458,CD8+ αβ Memory T Cell
17678.377,13455.173,Effector CD8+ αβ T Cell
17659.424,13438.032,B Cell
17676.031,13437.422,Classical Monocyte
17830.875,13337.726,Memory B Cell
17791.748,13335.605,CD8+ αβ Memory T Cell
17808.168,13342.619,Memory B Cell
17844.834,13317.438,CD4+ αβ Memory T Cell
17760.582,13320.604,Memory B Cell
17739.422,13335.08,Innate Lymphoid Cell
17742.197,13307.014,Memory B Cell
17828.01,13301.236,Memory B Cell
17777.252,13302.818,Innate Lymphoid Cell
17799.822,13307.336,CD1c+ Myeloid Dendritic Cell
17814.693,13319.178,Memory B Cell
17683.207,13246.273,Endothelial Cell
17667.22,13243.366,CD8+ αβ Memory T Cell
