x_transformed,y_transformed,group
17200.55,23264.3,Tumor Cells
17234.5,23329.31,Proliferative Tumor Cells
17261.064,23330.09,Proliferative Tumor Cells
17283.818,23321.648,Proliferative Tumor Cells
17314.375,23327.24,Tumor Cells
17421.75,23464.195,Tumor Cells
17485.842,23456.229,Proliferative Tumor Cells
17485.049,23347.662,Tumor Cells
17494.76,23364.865,Proliferative Tumor Cells
17291.654,23163.293,Tumor Cells
17208.48,23172.857,Proliferative Tumor Cells
17244.33,23174.229,Proliferative Tumor Cells
17276.854,23183.658,Tumor Cells
17274.129,23218.404,Tumor Cells
17307.559,23215.568,Tumor Cells
17238.174,23215.38,Tumor Cells
17452.99,23161.516,Macrophages
17470.781,23227.885,Proliferative Tumor Cells
17475.139,23181.93,Proliferative Tumor Cells
17481.697,23205.143,Proliferative Tumor Cells
17195.744,24059.268,Macrophages
17199.29,24430.53,T and NK Cells
17451.396,23491.383,Proliferative Tumor Cells
17434.982,23551.344,Tumor Cells
17453.543,23527.307,Tumor Cells
17467.105,23674.48,Macrophages
17436.65,23679.797,Macrophages
17454.797,23754.738,Tumor Cells
17486.693,23751.254,Tumor Cells
17315.658,23662.611,Tumor Cells
17285.543,23637.744,Tumor Cells
17287.041,23670.28,Tumor Cells
17240.875,23698.193,Tumor Cells
17210.873,23675.945,Tumor Cells
17249.137,23647.828,Macrophages
17292.957,23745.174,Tumor Cells
17258.566,23753.115,Tumor Cells
17285.166,23710.607,Macrophages
17391.357,23590.93,Macrophages
17358.418,23644.271,Tumor Cells
17360.062,23677.457,Tumor Cells
17191.752,23593.7,Tumor Cells
17218.336,23605.113,Tumor Cells
17247.85,23591.115,Tumor Cells
17160.137,23594.945,Tumor Cells
17338.615,23558.764,Tumor Cells
17219.91,23511.07,Tumor Cells
17228.836,23559.734,Proliferative Tumor Cells
17262.822,23535.912,Tumor Cells
17380.33,23709.713,Tumor Cells
17401.742,23677.693,Tumor Cells
17411.588,23740.363,Tumor Cells
17351.98,23716.373,Proliferative Tumor Cells
17366.44,23747.086,Tumor Cells
17327.818,23735.457,Proliferative Tumor Cells
17321.625,23686.361,Tumor Cells
17318.148,23706.389,Tumor Cells
17238.209,23728.422,Proliferative Tumor Cells
17140.436,23706.938,Tumor Cells
17197.541,23707.762,Macrophages
17169.932,23737.92,Tumor Cells
17203.387,23740.422,Tumor Cells
17030.309,23737.707,Tumor Cells
16979.053,23751.535,Tumor Cells
17010.893,23748.53,Tumor Cells
17036.34,23713.615,Tumor Cells
16983.553,23692.076,Tumor Cells
17008.111,23696.078,Proliferative Tumor Cells
17178.648,23670.549,Tumor Cells
16954.16,23711.15,Macrophages
16918.547,23680.508,Tumor Cells
16922.934,23700.766,Tumor Cells
16943.13,23679.49,Tumor Cells
16892.768,23678.145,Tumor Cells
16850.6,23684.441,Tumor Cells
16873.373,23664.098,Tumor Cells
16893.074,23700.99,Tumor Cells
16935.072,23742.906,Tumor Cells
16868.766,23723.326,Tumor Cells
16887.46,23734.27,Tumor Cells
16909.15,23732.775,Tumor Cells
16895.33,23592.96,Tumor Cells
16849.361,23573.918,Tumor Cells
16881.795,23571.26,Macrophages
16890.682,23542.861,Tumor Cells
15753.914,23550.488,Macrophages
15726.658,23508.715,Macrophages
15775.177,23502.828,T and NK Cells
15771.709,23526.3,T and NK Cells
16774.256,23566.61,Unassigned
15873.205,23568.902,T and NK Cells
15889.761,23586.348,T and NK Cells
16756.426,23536.96,Ciliated Epithelial Cells
16826.14,23658.287,Tumor Cells
16810.066,23587.467,Tumor Cells
16810.61,23634.139,Tumor Cells
16827.135,23606.373,Macrophages
16840.04,23546.629,Tumor Cells
16821.53,23479.02,Proliferative Tumor Cells
16827.293,23520.584,Tumor Cells
16882.117,23624.047,Tumor Cells
16849.775,23617.188,Tumor Cells
16851.768,23643.418,Tumor Cells
17057.588,23579.506,Tumor Cells
17024.67,23646.705,Tumor Cells
17015.744,23617.428,Tumor Cells
17064.037,23619.832,Tumor Cells
17137.682,23613.121,Tumor Cells
17102.457,23628.95,Tumor Cells
16966.91,23666.11,Tumor Cells
16912.03,23626.104,Tumor Cells
16912.871,23650.762,Proliferative Tumor Cells
17117.027,23664.371,Tumor Cells
17032.008,23671.135,Tumor Cells
17074.844,23678.193,Inflammatory Tumor Cells
17100.748,23675.207,Tumor Cells
17125.66,23515.795,Tumor Cells
16908.322,23492.832,Tumor Cells
16919.148,23537.76,Tumor Cells
16940.623,23524.719,Tumor Cells
16955.092,23489.775,Tumor Cells
17116.63,23544.668,Macrophages
17184.844,23629.123,Macrophages
17199.63,23528.07,Tumor Cells
17200.05,23650.809,Tumor Cells
17138.857,23647.22,Tumor Cells
17222.355,23636.707,Tumor Cells
17160.02,23634.707,Tumor Cells
17155.23,23684.361,Tumor Cells
17444.494,23870.807,Macrophages
17408.396,23871.965,Tumor Cells
17435.65,23832.232,Ciliated Epithelial Cells
17477.086,23787.174,Tumor Cells
17435.08,23770.383,Tumor Cells
17433.111,23805.594,Macrophages
17454.922,23794.434,Tumor Cells
17485.43,23837.178,Proliferative Tumor Cells
17496.582,23882.688,Tumor Cells
13812.06,24525.96,Smooth Muscle Cells
10980.258,24969.57,T and NK Cells
11124.688,24982.781,Macrophages
11104.268,24925.688,Macrophages
11121.682,24883.033,SOX2-OT+ Tumor Cells
11120.81,24749.832,T and NK Cells
17100.209,23818.078,Tumor Cells
17065.11,23790.965,Tumor Cells
17083.94,23801.488,Tumor Cells
16972.055,23793.385,Tumor Cells
16820.602,23826.361,T and NK Cells
